refseqid,genesymbol
NM_001330416,ST8SIA2
NM_001330442,MTA3
NM_001330443,MTA3
NM_001330458,ATL2
NM_001330461,ATL2
NM_001330520,TNRC6A
NM_001330538,RPGRIP1L
NM_001330624,CUL4B
NM_001330645,ADGRL2
NM_001330677,TBX15
NM_001330680,PRUNE2
NM_001330696,RBMS3
NM_001330736,ZNF518A
NM_001332,CTNND2
NM_001346201,SRGAP1
NM_001346500,CD164
NM_001347591,KDM5B
NM_001347723,DYRK1A
NM_001347872,MYLK4
NM_001347943,BTBD11
NM_001348427,ZNF148
NM_001348430,ZNF148
NM_001348431,ZNF148
NM_001348436,ZNF148
NM_001348946,ABCB1
NM_001348991,NXPE3
NM_001348992,NXPE3
NM_001348993,NXPE3
NM_001348994,NXPE3
NM_001348995,NXPE3
NM_001348996,NXPE3
NM_001348997,NXPE3
NM_001349242,PDE4D
NM_001349250,PLCH1
NM_001349547,ARHGAP26
NM_001349811,SAMD12
NM_001350204,DNM3
NM_001350206,DNM3
NM_001350294,GET1
NM_001350299,EPB41L2
NM_001350304,EPB41L2
NM_001350305,EPB41L2
NM_001350306,EPB41L2
NM_001350309,EPB41L2
NM_001350312,EPB41L2
NM_001350314,EPB41L2
NM_001350512,TMX3
NM_001350513,TMX3
NM_001350699,ADGRL2
NM_001350706,DGKB
NM_001350709,DGKB
NM_001351486,SLC8A1
NM_001351487,SLC8A1
NM_001351488,SLC8A1
NM_001351491,SLC8A1
NM_001351494,SLC8A1
NM_001351624,MAPK10
NM_001351625,MAPK10
NM_001352005,NTM
NM_001352385,STK4
NM_001352837,ST18
NM_001353108,CEP63
NM_001353109,CEP63
NM_001353110,CEP63
NM_001353111,CEP63
NM_001353112,CEP63
NM_001353119,CEP63
NM_001353120,CEP63
NM_001353121,CEP63
NM_001353122,CEP63
NM_001353125,CEP63
NM_001353810,ATP11C
NM_001353812,ATP11C
NM_001353949,SCN1A
NM_001353954,SCN1A
NM_001353957,SCN1A
NM_001354228,ANK2
NM_001354229,ST3GAL5
NM_001354232,ANK2
NM_001354238,ST3GAL5
NM_001354240,ANK2
NM_001354241,ANK2
NM_001354243,ANK2
NM_001354245,ANK2
NM_001354247,ST3GAL5
NM_001354249,ANK2
NM_001354253,ANK2
NM_001354255,ANK2
NM_001354257,ANK2
NM_001354258,ANK2
NM_001354260,ANK2
NM_001354262,ANK2
NM_001354264,ANK2
NM_001354266,ANK2
NM_001354267,ANK2
NM_001354268,ANK2
NM_001354270,ANK2
NM_001354271,ANK2
NM_001354274,ANK2
NM_001354275,ANK2
NM_001354276,ANK2
NM_001354277,ANK2
NM_001354278,ANK2
NM_001354279,ANK2
NM_001354280,ANK2
NM_001354281,ANK2
NM_001354282,ANK2
NM_001354411,PCDH15
NM_001354420,PCDH15
NM_001354430,PCDH15
NM_001354509,UBE3A
NM_001354544,UBE3A
NM_001354596,GSK3B
NM_001354712,THRB
NM_001354723,VHL
NM_001355015,TJP1
NM_001357,DHX9
NM_001358291,RMI1
NM_001360236,JOSD1
NM_001362819,PSD3
NM_001362843,EP300
NM_001362952,NCOA1
NM_001362954,NCOA1
NM_001363046,BIN3
NM_001363540,DOCK4
NM_001363657,MAPK10
NM_001363679,MFSD10
NM_001363711,DUOX2
NM_001363847,ST3GAL5
NM_001364128,CTNND2
NM_001364294,TNPO1
NM_001364295,TNPO1
NM_001364716,MPRIP
NM_001364832,PPHLN1
NM_001365023,RORB
NM_001365906,PAPLN
NM_001365907,PAPLN
NM_001365927,NLGN1
NM_001365933,NLGN1
NM_001366002,ADGRL2
NM_001366007,ADGRL2
NM_001366009,ADGRL2
NM_001366165,RAVER2
NM_001366426,NRXN3
NM_001366466,MECOM
NM_001366471,MECOM
NM_001367497,ANKRD44
NM_001367783,ZNF704
NM_001367871,FBRSL1
NM_001367949,FAT3
NM_001368146,TENM2
NM_001368395,FRMPD4
NM_001368397,FRMPD4
NM_001368398,FRMPD4
NM_001368399,FRMPD4
NM_001368400,FRMPD4
NM_001368769,B9D1
NM_001369434,CALCRL
XM_017017391,KDM2A
XM_017017873,CDON
XM_017017923,RSF1
XM_017018477,ZC3H12C
XM_017020201,ACVR1B
XM_017021288,ARHGAP5
XM_017021870,ARPP19
XM_017022655,NIPA2
XM_017025018,VEZF1
XM_017026104,THOC1
XM_017029684,SHROOM4
XM_017029791,ZFX
XM_017029795,ZFX
XM_024446383,ANKS1A
XM_024446418,HIVEP2
XM_024446419,HIVEP2
XM_024448315,ENAH
XM_024448925,ETFBKMT
XM_024448983,NAP1L1
XM_024449174,TMBIM6
XM_024450656,ZNF652
XM_024452193,PPIL2
XM_024452302,LARGE1
XM_024452699,LYPD6
XM_024453532,MYLK
XM_024453534,MYLK
XM_024453537,MYLK
XM_024453716,FNDC3B
XM_024453769,CEP63
XM_024453778,CEP63
XM_024454131,STK32B
XM_024454355,ADGRL2
XM_047416023,SLAIN2
XM_047416105,ADGRL2
XM_047416110,ADGRL2
XM_047416118,ADGRL2
XM_047416614,MARCHF6
XM_047416720,DNAJC21
XM_047416722,DNAJC21
XM_047417030,JADE2
XM_047417190,MEF2C
XM_047417213,MEF2C
XM_047417258,SAR1B
XM_047417315,PIK3R1
XM_047417317,PIK3R1
XM_047419504,UBE3D
XM_047420082,IQCE
XM_047421034,CADPS2
XM_047421267,NDUFS2
XM_047421384,NFYC
XM_047422877,POU2F1
XM_047422921,ABCA2
XM_047423020,FNBP1
XM_047423646,PTPRD
XM_047424503,CELF2
XM_047424836,INPP5F
XM_047424940,ENAH
XM_047425482,MAPK8
XM_047427065,CDON
XM_047427146,SLC35F2
XM_047427391,RDX
XM_047427710,MAML2
XM_047428328,PRICKLE1
XM_047428333,PRICKLE1
XM_047428881,CNOT2
XM_047429196,RIMKLB
XM_047429197,RIMKLB
XM_047429490,TMBIM6
XM_047430924,ZBTB18
XM_047431020,CEP128
XM_047431684,SRSF5
XM_047431685,SRSF5
XM_047431875,PAPLN
XM_047431935,TRIP11
XM_047431963,NRXN3
XM_047432112,ARPP19
XM_047432852,MAPK6
XM_047433231,EIF4G3
XM_047433261,EIF4G3
XM_047434685,ATF7IP2
XM_047434945,MARF1
XM_047435597,BPTF
XM_047435736,TANC2
XM_047435738,TANC2
XM_047436439,PLXDC1
XM_047436896,BRIP1
XM_047436901,BRIP1
XM_047440347,RPRD1B
XM_047441072,NUP50
XM_047441143,ZNF280B
XM_047441450,RANBP1
XM_047441604,LARGE1
XM_047441687,JOSD1
XM_047441731,HUWE1
XM_047441743,HUWE1
XM_047442391,TAF1
XM_047442404,TAF1
XM_047442702,MED12
XM_047443789,CLASP1
XM_047443792,CLASP1
XM_047444258,KIF5C
XM_047445241,ALS2
XM_047446104,AGPS
XM_047446288,ANKRD44
XM_047446290,ANKRD44
XM_047446449,GCC2
XM_047447091,RC3H1
XM_047448306,ATP6V1A
XM_047449013,CEP63
XM_047449055,EIF2A
XM_047449235,ZBTB47
XM_047449704,ADGRA3
XM_047449974,GAB1
NM_152446,CEP128
NM_152529,GPR155
NM_152558,IQCE
NM_152562,CDCA2
NM_152629,GLIS3
NM_152688,KHDRBS2
NM_152697,SLC44A5
NM_152704,AMER2
NM_152744,SDK1
NM_152756,RICTOR
NM_152758,YTHDF3
NM_152838,RBM12
NM_152924,ABHD2
NM_152943,ZNF268
NM_153026,PRICKLE1
NM_153184,CADM2
NM_153188,TNPO1
NM_153207,AEBP2
NM_153429,CPNE4
NM_153449,SLC2A14
NM_153498,CAMK1D
NM_153607,CREBRF
NM_153645,NUP50
NM_153697,ANKRD44
NM_153711,CALHM5
NM_153759,DNMT3A
NM_153828,RTN4
NM_170606,KMT2C
NM_170731,BDNF
NM_172071,RC3H1
NM_173199,NR4A3
NM_173200,NR4A3
NM_173359,EIF4E3
NM_173462,PAPLN
NM_173495,PTCHD1
NM_173515,CNKSR3
NM_173529,C18orf54
NM_173566,PRR14L
NM_173569,UBN2
NM_173588,IGSF22
NM_173598,KSR2
NM_173664,ARL10
NM_173694,ATP11C
NM_173698,FAM133A
NM_173802,ETFBKMT
NM_173814,PRTG
NM_173829,SREK1IP1
NM_174909,TMEM167A
NM_174938,FRMD3
NM_174942,GAS2L3
NM_175061,JAZF1
NM_175929,FGF14
NM_177438,DICER1
NM_177444,PPFIBP1
NM_177924,ASAH1
NM_177952,PPM1A
NM_178011,LRRTM3
NM_178123,SESTD1
NM_178457,ZNF831
NM_178505,TMEM26
NM_178544,ZNF546
NM_181359,IL6R
NM_181461,PAX3
NM_181500,CUX1
NM_181504,PIK3R1
NM_181523,PIK3R1
NM_181524,PIK3R1
NM_181659,NCOA3
NM_181699,PPP2R1B
NM_181705,LYRM7
NM_181733,COG5
NM_182488,USP12
NM_182503,ADAT2
NM_182551,LCLAT1
NM_182641,BPTF
NM_182729,TXNRD1
NM_182739,NDUFB6
NM_182763,MCL1
NM_182848,CLDN10
NM_182920,ADAMTS9
NM_183078,RNF8
NM_183353,RLIM
NM_194250,ZNF804A
NM_194283,DNAJC21
NM_194314,ZBTB41
NM_194429,CEP43
NM_198243,ASB7
NM_198269,HIPK1
NM_198337,INSIG1
NM_198400,NEDD4
NM_198465,NRK
NM_198480,ZNF615
NM_198563,STIMATE
NM_198581,ZC3H6
NM_198794,MAP4K5
NM_198795,TDRD1
NM_198882,SYNRG
NM_198920,UBE3D
NM_198941,SERINC3
NM_199138,AMER2
NM_199229,RPE
NM_199344,SFT2D2
NM_201274,MPRIP
NM_201439,PPHLN1
NM_201440,PPHLN1
NM_201515,PPHLN1
NM_201551,NELL1
NM_201648,GLYAT
NM_001369733,PEG3
NM_001369736,PEG3
NM_001369781,MLF1
NM_001369782,MLF1
NM_001369783,MLF1
NM_001369785,MLF1
NM_001370102,ZMYND11
NM_001370130,A1CF
NM_001370131,A1CF
NM_001370309,C18orf54
NM_001371457,MGAT5
NM_001371727,GABRB2
NM_001371910,MAP3K2
NM_001371911,MAP3K2
NM_001372052,HP1BP3
NM_001372169,NTNG1
NM_001372263,SLC8A1
NM_001374782,PRKG1
NM_001375397,CILK1
NM_001375462,LPP
NM_001375819,DNMT3A
NM_001375833,WIPF1
NM_001375834,WIPF1
NM_001375835,WIPF1
NM_001375836,WIPF1
NM_001375912,ZNF532
NM_001376049,FAM169A
NM_001376376,CELF1
NM_001376797,HP1BP3
NM_001376798,SIRT5
NM_001376799,SIRT5
NM_001376806,SIRT5
NM_001376808,SIRT5
NM_001376809,SIRT5
NM_001376810,SIRT5
NM_001376813,SIRT5
NM_001377262,MAK
NM_001377298,NDUFS2
NM_001377299,NDUFS2
NM_001377300,NDUFS2
NM_001377301,NDUFS2
NM_001377401,TMEM267
NM_001377403,TMEM267
NM_001377468,CLCC1
NM_001378414,HDAC4
NM_001378591,XIAP
NM_001378847,MLF1
NM_001378848,MLF1
NM_001378851,MLF1
NM_001378964,CDON
NM_001379226,SHANK2
NM_001382239,TNPO2
NM_001382241,TNPO2
NM_001384140,PCDH15
NM_001384354,ZNF831
NM_001384546,TIAM2
NM_001384547,TIAM2
NM_001384657,ARHGAP20
