molecule,communityId
NM_000016,1
NM_000021,1
NM_000023,1
NM_000026,1
NM_000027,1
NM_000028,1
NM_000030,1
NM_000038,1
NM_000039,1
NM_000043,1
NM_000044,1
NM_000046,1
NM_000052,1
NM_000053,1
NM_000056,1
NM_000057,1
NM_000068,1
NM_000071,1
NM_000072,1
NM_000073,1
NM_000075,1
NM_000076,1
NM_000081,1
NM_000082,1
NM_000084,1
NM_000090,1
NM_000091,1
NM_000092,1
NM_000093,1
NM_000096,1
NM_000098,1
NM_000100,1
NM_000104,1
NM_000110,1
NM_000111,1
NM_000113,1
NM_000119,1
NM_000121,1
NM_000124,1
NM_000125,1
NM_000127,1
NM_000130,1
NM_000132,1
NM_000134,1
NM_000138,1
NM_000139,1
NM_000141,1
NM_000145,1
NM_000151,1
NM_000153,1
NM_000162,1
NM_000165,1
NM_000167,1
NM_000168,1
NM_000173,1
NM_000176,1
NM_000179,1
NM_000183,1
NM_000189,1
NM_000193,1
NM_000194,1
NM_000195,1
NM_000202,1
NM_000210,1
NM_000212,1
NM_000214,1
NM_000215,1
NM_000216,1
NM_000217,1
NM_000219,1
NM_000220,1
NM_000221,1
NM_000222,1
NM_000223,1
NM_000228,1
NM_000230,1
NM_000236,1
NM_000240,1
NM_000242,1
NM_000243,1
NM_000245,1
NM_000248,1
NM_000252,1
NM_000253,1
NM_000254,1
NM_000255,1
NM_000259,1
NM_000262,1
NM_000264,1
NM_000267,1
NM_000268,1
NM_000270,1
NM_000271,1
NM_000272,1
NM_000275,1
NM_000277,1
NM_000278,1
NM_000280,1
NM_000284,1
NM_000287,1
NM_000289,1
NM_000292,1
NM_000293,1
NM_000294,1
NM_000296,1
NM_000297,1
NM_000301,1
NM_000304,1
NM_000308,1
NM_000310,1
NM_000311,1
NM_000314,1
NM_000318,1
NM_000319,1
NM_000320,1
NM_000321,1
NM_000322,1
NM_000325,1
NM_000326,1
NM_000332,1
NM_000333,1
NM_000336,1
NM_000337,1
NM_000345,1
NM_000346,1
NM_000348,1
NM_000351,1
NM_000353,1
NM_000356,1
NM_000358,1
NM_000361,1
NM_000362,1
NM_000368,1
NM_000370,1
NM_000373,1
NM_000376,1
NM_000377,1
NM_000378,1
NM_000381,1
NM_000389,1
NM_000390,1
NM_000392,1
NM_000393,1
NM_000395,1
NM_000397,1
NM_000398,1
NM_000399,1
NM_000400,1
NM_000403,1
NM_000405,1
NM_000406,1
NM_000408,1
NM_000411,1
NM_000418,1
NM_000424,1
NM_000426,1
NM_000428,1
NM_000429,1
NM_000430,1
NM_000435,1
NM_000436,1
NM_000438,1
NM_000440,1
NM_000441,1
NM_000442,1
NM_000444,1
NM_000445,1
NM_000450,1
NM_000451,1
NM_000457,1
NM_000459,1
NM_000461,1
NM_000462,1
NM_000465,1
NM_000474,1
NM_000476,1
NM_000484,1
NM_000486,1
NM_000489,1
NM_000492,1
NM_000500,1
NM_000501,1
NM_000503,1
NM_000506,1
NM_000508,1
NM_000511,1
NM_000514,1
NM_000515,1
NM_000516,1
NM_000520,1
NM_000522,1
NM_000527,1
NM_000529,1
NM_000532,1
NM_000533,1
NM_000536,1
NM_000538,1
NM_000540,1
NM_000542,1
NM_000551,1
NM_000553,1
NM_000557,1
NM_000560,1
NM_000562,1
NM_000564,1
NM_000575,1
NM_000577,1
NM_000578,1
NM_000584,1
NM_000596,1
NM_000601,1
NM_000602,1
NM_000603,1
NM_000609,1
NM_000610,1
NM_000611,1
NM_000612,1
NM_000614,1
NM_000615,1
NM_000616,1
NM_000618,1
NM_000619,1
NM_000620,1
NM_000621,1
NM_000629,1
NM_000632,1
NM_000633,1
NM_000636,1
NM_000637,1
NM_000642,1
NM_000643,1
NM_000644,1
NM_000646,1
NM_000657,1
NM_000660,1
NM_000661,1
NM_000663,1
NM_000672,1
NM_000677,1
NM_000680,1
NM_000684,1
NM_000685,1
NM_000686,1
NM_000687,1
NM_000689,1
NM_000693,1
NM_000694,1
NM_000696,1
NM_000707,1
NM_000713,1
NM_000718,1
NM_000719,1
NM_000720,1
NM_000721,1
NM_000722,1
NM_000724,1
NM_000725,1
NM_000726,1
NM_000740,1
NM_000744,1
NM_000746,1
NM_000755,1
NM_000769,1
NM_000770,1
NM_000777,1
NM_000778,1
NM_000779,1
NM_000782,1
NM_000787,1
NM_000789,1
NM_000793,1
NM_000794,1
NM_000800,1
NM_000801,1
NM_000806,1
NM_000807,1
NM_000809,1
NM_000812,1
NM_000813,1
NM_000814,1
NM_000816,1
NM_000817,1
NM_000818,1
NM_000819,1
NM_000821,1
NM_000824,1
NM_000826,1
NM_000827,1
NM_000828,1
NM_000829,1
NM_000831,1
