miR,communityId
NM_000016,3272
NM_000027,3272
NM_000084,3272
NM_000173,3272
NM_000222,3272
NM_000310,3272
NM_000435,3272
NM_000459,3272
NM_000461,3272
NM_000462,3272
NM_000489,3272
NM_000492,3272
NM_000546,3272
NM_000800,3272
NM_000827,3272
NM_000845,3272
NM_000859,3272
NM_000877,3272
NM_000905,3272
NM_000912,3272
NM_001001976,3272
NM_001002814,3272
NM_001003845,3272
NM_001004023,3272
NM_001006610,3272
NM_001007278,3272
NM_001007468,3272
NM_001008396,3272
NM_001008701,3272
NM_001009881,3272
NM_001011885,3272
NM_001014380,3272
NM_001014445,3272
NM_001014796,3272
NM_001017368,3272
NM_001017415,3272
NM_001017977,3272
NM_001017980,3272
NM_001018088,3272
NM_001020658,3272
NM_001024947,3272
NM_001025580,3272
NM_001029860,3272
NM_001030273,3272
NM_001031716,3272
NM_001031723,3272
NM_001032731,3272
NM_001034,3272
NM_001039396,3272
NM_001039573,3272
NM_001039920,3272
NM_001040402,3272
NM_001040456,3272
NM_001040457,3272
NM_001042368,3272
NM_001042459,3272
NM_001042481,3272
NM_001042559,3272
NM_001042572,3272
NM_001043229,3272
NM_001077188,3272
NM_001077418,3272
NM_001079514,3272
NM_001079846,3272
NM_001079874,3272
NM_001080423,3272
NM_001080470,3272
NM_001082533,3272
NM_001083,3272
NM_001085486,3272
NM_001093772,3272
NM_001097579,3272
NM_001098202,3272
NM_001098832,3272
NM_001099678,3272
NM_001102371,3272
NM_001105206,3272
NM_001105208,3272
NM_001105209,3272
NM_001105243,3272
NM_001112706,3272
NM_001113402,3272
NM_001113493,3272
NM_001114183,3272
NM_001126118,3272
NM_001127208,3272
NM_001127320,3272
NM_001127328,3272
NM_001127713,3272
NM_001127898,3272
NM_001127899,3272
NM_001128142,3272
NM_001129833,3272
NM_001129835,3272
NM_001129837,3272
NM_001129841,3272
NM_001129843,3272
NM_001130713,3272
NM_001130714,3272
NM_001131,3272
NM_001134373,3272
NM_001135101,3272
NM_001135690,3272
NM_001135955,3272
NM_001135956,3272
NM_001135957,3272
NM_001135958,3272
NM_001136105,3272
NM_001136497,3272
NM_001136499,3272
NM_001142604,3272
NM_001143758,3272
NM_001143759,3272
