from,to
hsa-miR-1197,NM_000183
hsa-miR-1197,NM_000275
hsa-miR-1197,NM_001002262
hsa-miR-1197,NM_001006642
hsa-miR-1197,NM_001014283
hsa-miR-1197,NM_001018109
hsa-miR-1197,NM_001040633
hsa-miR-1197,NM_001043
hsa-miR-1197,NM_001044370
hsa-miR-1197,NM_001077516
hsa-miR-1197,NM_001098787
hsa-miR-1197,NM_001098844
hsa-miR-1197,NM_001114978
hsa-miR-1197,NM_001114980
hsa-miR-1197,NM_001114981
hsa-miR-1197,NM_001127660
hsa-miR-1197,NM_001127893
hsa-miR-1197,NM_001128628
hsa-miR-1197,NM_001128629
hsa-miR-1197,NM_001128852
hsa-miR-1197,NM_001128853
hsa-miR-1197,NM_001128854
hsa-miR-1197,NM_001134296
hsa-miR-1197,NM_001135654
hsa-miR-1197,NM_001135944
hsa-miR-1197,NM_001141968
hsa-miR-1197,NM_001142443
hsa-miR-1197,NM_001161330
hsa-miR-1197,NM_001161331
hsa-miR-1197,NM_001164757
hsa-miR-1197,NM_001167595
hsa-miR-1197,NM_001167903
hsa-miR-1197,NM_001170738
hsa-miR-1197,NM_001172501
hsa-miR-1197,NM_001172502
hsa-miR-1197,NM_001172504
hsa-miR-1197,NM_001185095
hsa-miR-1197,NM_001185096
hsa-miR-1197,NM_001190438
hsa-miR-1197,NM_001190899
hsa-miR-1197,NM_001190900
hsa-miR-1197,NM_001193370
hsa-miR-1197,NM_001195082
hsa-miR-1197,NM_001199417
hsa-miR-1197,NM_001202470
hsa-miR-1197,NM_001204136
hsa-miR-1197,NM_001204137
hsa-miR-1197,NM_001204140
hsa-miR-1197,NM_001204141
hsa-miR-1197,NM_001204142
hsa-miR-1197,NM_001204143
hsa-miR-1197,NM_001204151
hsa-miR-1197,NM_001204299
hsa-miR-1197,NM_001243564
hsa-miR-1197,NM_001243565
hsa-miR-1197,NM_001258280
hsa-miR-1197,NM_001265614
hsa-miR-1197,NM_001267567
hsa-miR-1197,NM_001277081
hsa-miR-1197,NM_001277082
hsa-miR-1197,NM_001278238
hsa-miR-1197,NM_001281513
hsa-miR-1197,NM_001286571
hsa-miR-1197,NM_001288615
hsa-miR-1197,NM_001288616
hsa-miR-1197,NM_001288813
hsa-miR-1197,NM_001297644
hsa-miR-1197,NM_001297746
hsa-miR-1197,NM_001300984
hsa-miR-1197,NM_001303461
hsa-miR-1197,NM_001303462
hsa-miR-1197,NM_001317934
hsa-miR-1197,NM_001321230
hsa-miR-1197,NM_001322062
hsa-miR-1197,NM_001322064
hsa-miR-1197,NM_001322072
hsa-miR-1197,NM_001322077
hsa-miR-1197,NM_001323517
hsa-miR-1197,NM_001323942
hsa-miR-1197,NM_001329144
hsa-miR-1197,NM_001329145
hsa-miR-1197,NM_001329146
hsa-miR-1197,NM_001329148
hsa-miR-1197,NM_001351378
hsa-miR-1197,NM_001353869
hsa-miR-1197,NM_001365156
hsa-miR-1197,NM_001370125
hsa-miR-1197,NM_001370752
hsa-miR-1197,NM_001385871
hsa-miR-1197,NM_001385875
hsa-miR-1197,NM_001388140
hsa-miR-1197,NM_001395978
hsa-miR-1197,NM_001399957
hsa-miR-1197,NM_001694
hsa-miR-1197,NM_001761
hsa-miR-1197,NM_001844
hsa-miR-1197,NM_001926
hsa-miR-1197,NM_002778
