from,to,commonMrnas,median
hsa-miR-654-5p,hsa-miR-541-3p,3443,117.5
hsa-miR-541-3p,hsa-miR-654-5p,3443,117.5
hsa-miR-485-5p,hsa-miR-665,3277,117.5
hsa-miR-665,hsa-miR-485-5p,3277,117.5
hsa-miR-665,hsa-miR-370-3p,1111,117.5
hsa-miR-370-3p,hsa-miR-665,1111,117.5
hsa-miR-381-3p,hsa-miR-493-5p,993,117.5
hsa-miR-493-5p,hsa-miR-381-3p,993,117.5
hsa-miR-665,hsa-miR-541-3p,935,117.5
hsa-miR-541-3p,hsa-miR-665,935,117.5
hsa-miR-485-5p,hsa-miR-381-3p,887,117.5
hsa-miR-381-3p,hsa-miR-485-5p,887,117.5
hsa-miR-485-5p,hsa-miR-370-3p,869,117.5
hsa-miR-370-3p,hsa-miR-485-5p,869,117.5
hsa-miR-485-5p,hsa-miR-541-3p,791,117.5
hsa-miR-541-3p,hsa-miR-485-5p,791,117.5
hsa-miR-665,hsa-miR-381-3p,751,117.5
hsa-miR-381-3p,hsa-miR-665,751,117.5
hsa-miR-381-3p,hsa-miR-485-3p,748,117.5
hsa-miR-485-3p,hsa-miR-381-3p,748,117.5
hsa-miR-485-5p,hsa-miR-654-5p,729,117.5
hsa-miR-654-5p,hsa-miR-485-5p,729,117.5
hsa-miR-543,hsa-miR-493-5p,725,117.5
hsa-miR-493-5p,hsa-miR-543,725,117.5
hsa-miR-665,hsa-miR-654-5p,698,117.5
hsa-miR-654-5p,hsa-miR-665,698,117.5
hsa-miR-665,hsa-miR-493-5p,696,117.5
hsa-miR-493-5p,hsa-miR-665,696,117.5
hsa-miR-493-5p,hsa-miR-485-3p,683,117.5
hsa-miR-485-3p,hsa-miR-493-5p,683,117.5
hsa-miR-485-5p,hsa-miR-493-5p,674,117.5
hsa-miR-493-5p,hsa-miR-485-5p,674,117.5
hsa-miR-485-5p,hsa-miR-433-3p,672,117.5
hsa-miR-433-3p,hsa-miR-485-5p,672,117.5
hsa-miR-433-3p,hsa-miR-381-3p,636,117.5
hsa-miR-381-3p,hsa-miR-433-3p,636,117.5
hsa-miR-543,hsa-miR-381-3p,629,117.5
hsa-miR-381-3p,hsa-miR-543,629,117.5
hsa-miR-485-5p,hsa-miR-485-3p,617,117.5
hsa-miR-485-3p,hsa-miR-485-5p,617,117.5
hsa-miR-539-5p,hsa-miR-381-3p,599,117.5
hsa-miR-381-3p,hsa-miR-539-5p,599,117.5
hsa-miR-665,hsa-miR-433-3p,597,117.5
hsa-miR-433-3p,hsa-miR-665,597,117.5
hsa-miR-665,hsa-miR-539-5p,593,117.5
hsa-miR-539-5p,hsa-miR-665,593,117.5
hsa-miR-495-3p,hsa-miR-493-5p,560,117.5
hsa-miR-493-5p,hsa-miR-495-3p,560,117.5
hsa-miR-539-5p,hsa-miR-493-5p,559,117.5
hsa-miR-493-5p,hsa-miR-539-5p,559,117.5
hsa-miR-665,hsa-miR-134-5p,549,117.5
hsa-miR-134-5p,hsa-miR-665,549,117.5
hsa-miR-495-3p,hsa-miR-381-3p,547,117.5
hsa-miR-665,hsa-miR-432-5p,547,117.5
hsa-miR-432-5p,hsa-miR-665,547,117.5
hsa-miR-381-3p,hsa-miR-495-3p,547,117.5
hsa-miR-543,hsa-miR-433-3p,545,117.5
hsa-miR-433-3p,hsa-miR-543,545,117.5
