from,to,commonMrnas
hsa-miR-654-5p,hsa-miR-541-3p,3443
hsa-miR-541-3p,hsa-miR-654-5p,3443
hsa-miR-485-5p,hsa-miR-665,3277
hsa-miR-665,hsa-miR-485-5p,3277
hsa-miR-665,hsa-miR-370-3p,1111
hsa-miR-370-3p,hsa-miR-665,1111
hsa-miR-493-5p,hsa-miR-381-3p,993
hsa-miR-381-3p,hsa-miR-493-5p,993
hsa-miR-541-3p,hsa-miR-665,935
hsa-miR-665,hsa-miR-541-3p,935
hsa-miR-485-5p,hsa-miR-381-3p,887
hsa-miR-381-3p,hsa-miR-485-5p,887
hsa-miR-485-5p,hsa-miR-370-3p,869
hsa-miR-370-3p,hsa-miR-485-5p,869
hsa-miR-541-3p,hsa-miR-485-5p,791
hsa-miR-485-5p,hsa-miR-541-3p,791
hsa-miR-665,hsa-miR-381-3p,751
hsa-miR-381-3p,hsa-miR-665,751
hsa-miR-381-3p,hsa-miR-485-3p,748
hsa-miR-485-3p,hsa-miR-381-3p,748
hsa-miR-485-5p,hsa-miR-654-5p,729
hsa-miR-654-5p,hsa-miR-485-5p,729
hsa-miR-543,hsa-miR-493-5p,725
hsa-miR-493-5p,hsa-miR-543,725
hsa-miR-665,hsa-miR-654-5p,698
hsa-miR-654-5p,hsa-miR-665,698
hsa-miR-493-5p,hsa-miR-665,696
hsa-miR-665,hsa-miR-493-5p,696
hsa-miR-485-3p,hsa-miR-493-5p,683
hsa-miR-493-5p,hsa-miR-485-3p,683
hsa-miR-493-5p,hsa-miR-485-5p,674
hsa-miR-485-5p,hsa-miR-493-5p,674
hsa-miR-485-5p,hsa-miR-433-3p,672
hsa-miR-433-3p,hsa-miR-485-5p,672
hsa-miR-433-3p,hsa-miR-381-3p,636
hsa-miR-381-3p,hsa-miR-433-3p,636
hsa-miR-381-3p,hsa-miR-543,629
hsa-miR-543,hsa-miR-381-3p,629
hsa-miR-485-3p,hsa-miR-485-5p,617
hsa-miR-485-5p,hsa-miR-485-3p,617
hsa-miR-539-5p,hsa-miR-381-3p,599
hsa-miR-381-3p,hsa-miR-539-5p,599
hsa-miR-665,hsa-miR-433-3p,597
hsa-miR-433-3p,hsa-miR-665,597
hsa-miR-665,hsa-miR-539-5p,593
hsa-miR-539-5p,hsa-miR-665,593
hsa-miR-495-3p,hsa-miR-493-5p,560
hsa-miR-493-5p,hsa-miR-495-3p,560
hsa-miR-493-5p,hsa-miR-539-5p,559
hsa-miR-539-5p,hsa-miR-493-5p,559
hsa-miR-665,hsa-miR-134-5p,549
hsa-miR-134-5p,hsa-miR-665,549
hsa-miR-495-3p,hsa-miR-381-3p,547
hsa-miR-665,hsa-miR-432-5p,547
hsa-miR-432-5p,hsa-miR-665,547
hsa-miR-381-3p,hsa-miR-495-3p,547
hsa-miR-433-3p,hsa-miR-543,545
hsa-miR-543,hsa-miR-433-3p,545
hsa-miR-485-5p,hsa-miR-432-5p,541
hsa-miR-432-5p,hsa-miR-485-5p,541
hsa-miR-665,hsa-miR-431-5p,534
hsa-miR-431-5p,hsa-miR-665,534
hsa-miR-543,hsa-miR-665,524
hsa-miR-758-3p,hsa-miR-381-3p,524
hsa-miR-665,hsa-miR-543,524
hsa-miR-381-3p,hsa-miR-758-3p,524
hsa-miR-381-3p,hsa-miR-370-3p,522
hsa-miR-370-3p,hsa-miR-381-3p,522
hsa-miR-541-5p,hsa-miR-485-5p,522
hsa-miR-485-5p,hsa-miR-541-5p,522
hsa-miR-381-3p,hsa-miR-409-3p,514
hsa-miR-409-3p,hsa-miR-381-3p,514
hsa-miR-758-3p,hsa-miR-493-5p,512
hsa-miR-493-5p,hsa-miR-758-3p,512
hsa-miR-485-5p,hsa-miR-329-3p,510
hsa-miR-329-3p,hsa-miR-485-5p,510
hsa-miR-329-3p,hsa-miR-493-5p,509
hsa-miR-493-5p,hsa-miR-329-3p,509
hsa-miR-543,hsa-miR-485-5p,509
hsa-miR-485-5p,hsa-miR-543,509
hsa-miR-381-3p,hsa-miR-1197,506
hsa-miR-1197,hsa-miR-381-3p,506
hsa-miR-381-3p,hsa-miR-329-3p,501
hsa-miR-329-3p,hsa-miR-381-3p,501
hsa-miR-485-5p,hsa-miR-539-5p,500
hsa-miR-539-5p,hsa-miR-485-5p,500
hsa-miR-665,hsa-miR-382-5p,484
hsa-miR-493-5p,hsa-miR-541-5p,484
hsa-miR-382-5p,hsa-miR-665,484
hsa-miR-541-5p,hsa-miR-493-5p,484
hsa-miR-493-5p,hsa-miR-134-5p,483
hsa-miR-134-5p,hsa-miR-493-5p,483
hsa-miR-539-5p,hsa-miR-543,482
hsa-miR-543,hsa-miR-539-5p,482
hsa-miR-493-5p,hsa-miR-409-3p,481
hsa-miR-409-3p,hsa-miR-493-5p,481
hsa-miR-370-3p,hsa-miR-541-3p,480
hsa-miR-541-3p,hsa-miR-370-3p,480
hsa-miR-381-3p,hsa-miR-127-5p,473
hsa-miR-127-5p,hsa-miR-381-3p,473
hsa-miR-654-5p,hsa-miR-370-3p,469
hsa-miR-370-3p,hsa-miR-654-5p,469
hsa-miR-381-3p,hsa-miR-410-3p,469
hsa-miR-410-3p,hsa-miR-381-3p,469
hsa-miR-329-3p,hsa-miR-665,465
hsa-miR-665,hsa-miR-329-3p,465
hsa-miR-665,hsa-miR-494-3p,461
hsa-miR-494-3p,hsa-miR-665,461
hsa-miR-134-5p,hsa-miR-381-3p,456
hsa-miR-381-3p,hsa-miR-134-5p,456
hsa-miR-381-3p,hsa-miR-431-5p,454
hsa-miR-665,hsa-miR-541-5p,454
hsa-miR-541-5p,hsa-miR-665,454
hsa-miR-431-5p,hsa-miR-381-3p,454
hsa-miR-323a-3p,hsa-miR-493-5p,451
hsa-miR-493-5p,hsa-miR-323a-3p,451
hsa-miR-541-5p,hsa-miR-381-3p,447
hsa-miR-381-3p,hsa-miR-541-5p,447
hsa-miR-493-5p,hsa-miR-433-3p,443
hsa-miR-433-3p,hsa-miR-493-5p,443
hsa-miR-1197,hsa-miR-665,438
hsa-miR-665,hsa-miR-1197,438
hsa-miR-485-5p,hsa-miR-758-3p,434
hsa-miR-758-3p,hsa-miR-485-5p,434
hsa-miR-493-3p,hsa-miR-485-5p,433
hsa-miR-485-5p,hsa-miR-493-3p,433
hsa-miR-665,hsa-miR-127-5p,433
hsa-miR-127-5p,hsa-miR-665,433
hsa-miR-495-3p,hsa-miR-665,430
hsa-miR-665,hsa-miR-495-3p,430
hsa-miR-485-5p,hsa-miR-382-5p,425
hsa-miR-382-5p,hsa-miR-485-5p,425
hsa-miR-485-5p,hsa-miR-494-3p,423
hsa-miR-494-3p,hsa-miR-485-5p,423
hsa-miR-495-3p,hsa-miR-543,420
hsa-miR-543,hsa-miR-495-3p,420
hsa-miR-432-5p,hsa-miR-381-3p,418
hsa-miR-381-3p,hsa-miR-432-5p,418
hsa-miR-485-3p,hsa-miR-665,411
hsa-miR-665,hsa-miR-485-3p,411
hsa-miR-541-5p,hsa-miR-329-3p,403
hsa-miR-329-3p,hsa-miR-541-5p,403
hsa-miR-127-5p,hsa-miR-485-5p,400
hsa-miR-485-5p,hsa-miR-127-5p,400
hsa-miR-539-5p,hsa-miR-433-3p,399
hsa-miR-433-3p,hsa-miR-539-5p,399
hsa-miR-493-5p,hsa-miR-432-5p,398
hsa-miR-432-5p,hsa-miR-493-5p,398
hsa-miR-381-3p,hsa-miR-323a-3p,396
hsa-miR-329-3p,hsa-miR-409-3p,396
hsa-miR-134-5p,hsa-miR-485-5p,396
hsa-miR-485-5p,hsa-miR-134-5p,396
hsa-miR-323a-3p,hsa-miR-381-3p,396
