molecule,betweenness
hsa-miR-665,63029939.3773784
hsa-miR-485-5p,53951041.79114005
hsa-miR-381-3p,35883850.88635769
hsa-miR-370-3p,31697841.57320499
hsa-miR-493-5p,31674374.02819367
hsa-miR-543,22052580.99423437
hsa-miR-485-3p,21052606.315776385
hsa-miR-433-3p,19432969.01019714
hsa-miR-495-3p,17940225.489105336
hsa-miR-539-5p,17410781.432369072
hsa-miR-432-5p,16771291.022690257
hsa-miR-541-3p,16724660.762432085
hsa-miR-134-5p,16414961.672489565
hsa-miR-329-3p,16339225.846077058
hsa-miR-758-3p,14844641.450695997
hsa-miR-541-5p,14339906.887912204
hsa-miR-654-5p,13650117.650583677
hsa-miR-493-3p,13467360.888924262
hsa-miR-409-3p,13160951.111649834
hsa-miR-127-5p,12544169.084576515
hsa-miR-382-5p,12257279.052567994
hsa-miR-431-5p,11862425.619248
hsa-miR-668-3p,10201977.613913886
hsa-miR-136-5p,10086154.403545868
hsa-miR-1197,9942957.321008425
hsa-miR-410-3p,9280395.921667874
hsa-miR-494-3p,8978414.103090921
hsa-miR-770-5p,8726627.99367625
hsa-miR-323a-3p,7713335.743634941
hsa-miR-154-5p,7511765.046615492
hsa-miR-654-3p,7071614.753899054
hsa-miR-299-3p,6392687.521026554
hsa-miR-377-3p,6306777.7104172725
hsa-miR-544a,5996616.245902917
hsa-miR-487a-3p,3886034.359419848
hsa-miR-380-3p,3817562.989516113
hsa-miR-496,3709108.6690789997
hsa-miR-376c-3p,2241523.1862234473
hsa-miR-655-3p,1621350.6296053939
hsa-miR-376a-3p,1351806.3418440074
hsa-miR-376b-3p,1343521.4748849617
hsa-miR-369-3p,1153686.066428491
NM_001164344,975994.1663030529
hsa-miR-656-3p,862057.9173217618
NM_001393393,839142.4978801607
NM_015642,832099.9678710569
NM_001348800,785280.1704401972
NM_001348803,785280.1704401972
NM_001164345,769704.0516766405
hsa-miR-889-3p,732785.0394751228
NM_001164347,729766.3850037744
NM_001164346,680521.0850367533
NM_001164343,654096.9125432591
NM_005578,594360.0801851643
NM_014897,591294.5319210162
NM_005596,525996.6382430143
NM_012199,516669.19802461803
NM_001317123,464499.755255466
NM_014911,463349.64544897137
XM_024450656,457619.45250520675
NM_001375462,428828.0860583855
NM_004852,401876.04378053657
NM_001190738,398005.220234372
NM_021003,395096.13079513935
NM_206909,391609.13045307767
NM_001317122,380704.258540076
NM_177952,365983.81242520356
NM_001282787,362129.991328586
NM_032410,359955.6435196523
NM_001371575,348330.97768490924
NM_001145365,342325.5299610368
NM_001369461,337684.500495082
NM_001369464,337684.500495082
NM_001369466,337233.2001856708
NM_001369472,337233.2001856708
NM_001366426,333779.8413997728
NM_001369467,332431.4963973115
NM_001369476,332431.4963973115
NM_001024843,330575.2487152672
NM_001162501,314531.3878459852
NM_015088,314531.3878459852
NM_001369460,303549.59822150716
NM_001374729,281543.8391258845
NM_001374736,281543.8391258845
XM_047422877,272266.18806601805
XM_047423492,271053.48850966594
NM_002697,264462.6605118394
XM_017006381,261472.65004125537
XM_047423512,261414.95353740867
XM_047423501,260979.17650846628
NM_001257412,260255.6206800574
NM_017637,257435.55035681784
NM_001354712,257129.1891622918
NM_001009899,254341.0654243812
XM_017005871,254341.0654243812
NM_183380,254189.97899918363
NM_134261,251858.96334509546
NM_004796,250277.804920716
NM_001374730,249385.4594336344
NM_024577,247507.98523757135
NM_033224,247052.19292227813
NM_183232,242524.49418689604
NM_001394015,240149.75866467823
NM_001759,239972.92254152318
NM_015548,239905.03113414897
NM_001369470,239705.26468473964
NM_145055,239440.34944407415
NM_001190737,237784.7325547538
NM_001365848,237317.9968245472
XM_011509654,237317.9968245472
NM_001178141,236165.9154512213
NM_145866,233764.52685048536
NM_001144770,233480.1444733178
NM_004379,231858.01798487906
NM_017759,231848.53668054272
NM_001145511,229264.29762685642
NM_001178142,227244.60258961614
NM_001284516,221154.1337995807
NM_183228,219007.42851431965
NM_001362819,216809.8218366479
NM_005497,215897.3999794104
NM_001128176,215270.9556524451
NM_001257409,214816.89447726376
NM_001003652,211830.95387167644
NM_001351486,211008.84064749145
NM_001112801,209872.86695344283
NM_021097,209582.64621322675
NM_017926,208143.33441391858
NM_017972,208143.33441391858
NM_001330195,205130.07390644602
NM_177951,202131.45987272606
NM_001144769,201846.25291157357
NM_005188,201591.741687606
NM_001389616,200732.9886475327
NM_001178140,200470.52645251984
XM_047442334,200293.58170296575
XM_047431963,199760.85131573543
NM_173595,199203.009566918
NM_001257408,198850.2824806304
XM_017029717,198392.01813861728
XM_017029718,198392.01813861728
XM_017029719,198392.01813861728
NM_001317939,198215.89215074774
NM_183230,197648.82329927216
NM_001369479,196389.07603929454
NM_001257413,195947.85891177395
NM_025185,194565.7077028734
NM_134262,194444.77402811233
NM_020949,193806.71450257563
NM_032812,193567.93377643524
NM_001135937,193460.96816299786
NM_022459,192040.41743571864
NM_014631,191501.65556858832
NM_001033723,191110.50275433066
NM_001257411,190336.1897347774
NM_001145340,189791.0485118356
NM_183229,189567.3982187301
NM_015310,189508.4719117331
NM_001257414,189201.14349665737
NM_012481,189201.14349665737
NM_018440,189128.9689584253
NM_134442,188488.0082392795
NM_001018053,188084.54508213288
NM_001008239,187354.64468668267
NM_001080383,186620.67738045054
NM_001204505,186553.4086049641
NM_001204506,186553.4086049641
NM_001252634,186019.46629263513
NM_012117,185030.38347604946
NM_001351488,184795.52641527337
NM_001372263,184795.52641527337
NM_001127321,184278.178617541
NM_001284234,183877.9211369621
NM_001130701,183387.99554274417
NM_020772,181689.0120652778
NM_001195728,180497.90083371647
XM_017029744,180153.87562473433
NM_001286780,179562.4534978837
NM_025142,177436.37839564358
NM_017412,177190.57108779755
NM_001257410,176897.53263829846
NM_001317911,176588.15382253687
NM_001317912,176588.15382253687
NM_139245,176588.15382253687
NM_001198783,176287.91113264175
NM_001389617,175369.74907172716
NM_001284514,174885.80881840244
NM_001204171,173328.7983859577
NM_001204172,173328.7983859577
NM_001278516,173328.7983859577
NM_001278517,173328.7983859577
NM_001278519,173328.7983859577
NM_001367990,171855.69303507227
NM_001127322,170576.41107125537
NM_001134673,169952.2899192628
NM_001145512,169952.2899192628
NM_005595,169952.2899192628
NM_001375756,169717.64406180254
NM_001278518,168917.1501296265
NM_002393,168917.1501296265
NM_000831,168515.29769715198
NM_013261,168414.8431121147
NM_001199260,165632.6360479559
NM_001346516,165435.14768478728
NM_001252624,165153.82869628686
NM_152910,165014.67750447994
NM_014730,164665.93479028967
NM_001282736,164208.7636900226
NM_001278462,162854.37674979857
NM_002603,162680.36088520702
NM_001112800,162456.48144175718
NM_001195278,161373.6319104787
NM_001002838,158908.47146715916
NM_178153,158077.53498621963
NM_005955,157422.45245571667
NM_001142386,157155.5401382507
NM_001371428,156656.14811969837
NM_018222,155436.1399135968
NM_001198786,154461.80396983985
XM_024450526,154404.05685727557
NM_001303628,154151.83299442715
NM_138317,153802.71467250292
XM_047428762,152481.6258132067
NM_178009,151532.44435270893
NM_024969,151437.10416214148
NM_001286781,150340.21754815723
NM_001191320,150284.4370670189
NM_173569,148609.100890893
NM_199351,148136.9855247334
XM_047419935,148136.9855247334
NM_152594,148113.2771548045
NM_001284238,147579.19012675495
NM_001039590,146506.23226637254
NM_001039591,146506.23226637254
XM_005272675,146506.23226637254
XM_005272676,146506.23226637254
NM_001330753,145970.9138058602
NM_001351487,145625.83536480734
NM_001351494,145625.83536480734
NM_001365951,145327.7024132792
NM_001365952,145327.7024132792
NM_003879,144946.5992451191
NM_001723,144375.99526315875
NM_001040450,143357.21102778267
NM_001040453,143357.21102778267
NM_001366022,143308.8362820478
NM_001079526,143050.40810263978
NM_007249,142081.5262947108
XM_047433231,141862.5497665485
XM_047433261,141862.5497665485
NM_001195553,141653.25881882815
NM_001256736,141494.96820826473
NM_001105250,141206.37234079352
NM_000855,140920.89054405398
NM_001204403,139873.4581656583
NM_001371427,139291.36198899246
NM_001008781,137642.13685770246
NM_001367949,137642.13685770246
NM_001376312,137014.31852589047
XM_047435736,136570.73108825888
XM_047435738,136570.73108825888
NM_020225,136331.88323475962
NM_030918,136133.88266731144
NM_001318040,135807.25568888782
NM_133374,135807.25568888782
NM_000461,134879.26470252717
NM_001374822,134879.26470252717
NM_001374825,134879.26470252717
XM_047448797,134879.26470252717
NM_016173,134853.56223101006
NM_017583,134382.6942146362
NM_001167738,133847.27478288428
NM_001113178,133639.7986467292
NM_006599,133639.7986467292
NM_138713,133639.7986467292
NM_134260,133153.3050606428
NM_003023,132366.099222995
NM_001043352,132343.31311479944
NM_001043353,132343.31311479944
NM_145034,132204.5881883325
NM_001352385,131802.3495105482
XM_047424321,131795.68869676554
NM_183353,131297.49943800323
NM_006212,130892.41275363177
XM_047420641,130756.80148802666
NM_001286730,130756.37882696312
NM_001369552,130754.88513930107
NM_207361,130412.20374843304
NM_001042603,130365.36448468523
NM_001001481,130326.06021465446
NM_003076,129946.38022559888
NM_001164629,129860.41748245218
NM_001321708,129445.27849382476
NM_001191321,128980.70908690772
NM_001278631,128730.24485766196
NM_001351491,127935.17973762129
NM_006286,126552.31752523754
NM_183231,126450.28662442655
XM_047419938,126448.33454495172
XM_047419950,126448.33454495172
NM_001371577,126301.55232546307
NM_001330723,126143.04212729787
NM_001367710,125934.59916534928
NM_080546,125656.1852770424
NM_003483,125286.41795818968
XM_011529018,124371.32661574797
NM_001145856,124310.79760189929
NM_001112802,124015.7052420087
NM_001093,123839.76916413933
NM_003242,123736.96564499568
NM_213589,123688.77500895433
XM_005246777,123688.77500895433
NM_001172698,123313.80735974462
NM_001172699,123313.80735974462
NM_133263,123313.80735974462
NM_001374823,122974.25202461064
NM_001172173,122605.32947621713
XM_005246865,122605.32947621713
NM_134428,122362.42303733958
NM_001042549,121896.17026462696
NM_015471,121896.17026462694
NM_173648,121680.20243087511
NM_194278,121457.72998564912
NM_001297737,121401.1619848743
NM_001272020,120885.07552453435
NM_138970,120885.07552453435
NM_001256752,120689.64668541473
NM_001256732,120214.7798039226
NM_003709,119839.76524359758
NM_001142771,119823.4446827177
NM_173822,119749.9044774227
NM_003162,119524.55030969671
NM_001352919,119506.92206022638
NM_012433,119427.82172373847
NM_001257195,119365.99712007707
NM_001145280,119224.22488979985
NM_001288653,119198.46652937164
XM_017013400,119176.68014908272
NM_020987,119129.87569413327
XM_024452403,119125.45767035181
NM_022817,119123.73911858657
NM_015046,118177.50623883183
NM_001034955,117690.68190312077
NM_001284233,117615.34954224533
NM_021813,117585.32642339617
NM_002943,117113.81418462706
NM_001394998,116465.50867308465
NM_001106,116128.65110073477
NM_001369542,115831.15055660863
NM_001369546,115831.15055660863
NM_020443,114884.99678187132
NM_058172,114459.37343490506
NM_002745,114320.67211482805
NM_001193451,113881.59666378336
NM_000834,113853.30327303734
NM_001367783,113579.80503473982
NM_001278388,113210.22042611755
NM_004586,112206.16740443432
NM_001204504,111753.13321427828
NM_015144,111690.94713892291
NM_024659,110833.2104013528
NM_020964,110620.81520791026
NM_030647,109999.28070901842
NM_001370074,109910.03648607091
NM_173485,109819.21206954074
NM_173829,109018.44760833216
NM_001007097,108051.19581205791
XM_005254441,107708.57498880116
NM_001400136,107464.55130319785
NM_001197104,107450.3297706063
NM_005933,107450.3297706063
NM_001400360,107407.16811913482
NM_001400363,107407.16811913482
XM_011518948,107391.65100478735
NM_001256733,107327.39594906039
NM_001178138,106531.54737416634
NM_003569,106371.93226410188
NM_003417,106154.84829097222
NM_006282,106138.87130087097
NM_021912,106109.3940469123
NM_012446,105586.54774345318
NM_173515,105555.75110027648
NM_001122681,105370.12671990904
NM_001145855,105370.12671990904
XM_047433796,105125.92063193893
NM_173566,105101.35761438128
NM_194286,104380.03085893985
NM_001170703,104302.59509729009
NM_001010888,103671.21446718801
NM_001369539,103509.27008844445
NM_001198627,103360.44853362131
NM_015317,103352.52271255916
XM_011543892,103213.54509582918
NM_018362,102755.27034089125
NM_001243510,102754.1326385878
NM_001243512,102754.1326385878
NM_001321623,102320.42669941041
NM_001170702,102250.55266208068
XM_005264519,102204.26187425009
NM_001285439,102191.13083218918
NM_152756,102191.13083218918
XM_047430147,102164.34499561254
NM_173550,101858.33221365054
NM_000245,101626.32367737328
NM_001127500,101626.32367737328
NM_001351484,101448.72857899946
NM_206855,101031.08406548793
NM_001193421,101020.92783404932
NM_001178139,100966.19733541425
NM_001178137,100842.70870063061
NM_005253,100635.55873061376
NM_001282850,100510.643386607
XM_024446418,100505.53139975335
XM_024446419,100505.53139975335
NM_001142772,100504.37284465996
NM_001363819,100393.73610051349
XM_047431919,100323.88212618617
NM_014702,99725.46724352968
NM_033026,99590.16154067678
NM_001257194,99510.4363101253
NM_017415,99510.4363101253
NM_001287491,99464.44311746767
NM_002867,99145.41747422983
NM_022041,99141.77813075873
NM_001369370,99038.01174968842
NM_001369372,99038.01174968842
NM_001369373,99038.01174968842
XM_011530879,99038.01174968842
