molecule,localClusteringCoefficient
NM_000016,0.0
NM_000020,0.0
NM_000021,0.0
NM_000023,0.0
NM_000026,0.0
NM_000027,0.0
NM_000028,0.0
NM_000030,0.0
NM_000031,0.0
NM_000038,0.0
NM_000039,0.0
NM_000040,0.0
NM_000043,0.0
NM_000044,0.0
NM_000046,0.0
NM_000051,0.0
NM_000052,0.0
NM_000053,0.0
NM_000054,0.0
NM_000056,0.0
NM_000057,0.0
NM_000062,0.0
NM_000063,0.0
NM_000064,0.0
NM_000068,0.0
NM_000071,0.0
NM_000072,0.0
NM_000073,0.0
NM_000075,0.0
NM_000076,0.0
NM_000081,0.0
NM_000082,0.0
NM_000084,0.0
NM_000090,0.0
NM_000091,0.0
NM_000092,0.0
NM_000093,0.0
NM_000096,0.0
NM_000098,0.0
NM_000100,0.0
NM_000104,0.0
NM_000108,0.0
NM_000110,0.0
NM_000111,0.0
NM_000112,0.0
NM_000113,0.0
NM_000118,0.0
NM_000119,0.0
NM_000121,0.0
NM_000124,0.0
NM_000125,0.0
NM_000127,0.0
NM_000129,0.0
NM_000130,0.0
NM_000132,0.0
NM_000134,0.0
NM_000135,0.0
NM_000136,0.0
NM_000138,0.0
NM_000139,0.0
NM_000141,0.0
NM_000144,0.0
NM_000145,0.0
NM_000151,0.0
NM_000153,0.0
NM_000157,0.0
NM_000162,0.0
NM_000163,0.0
NM_000165,0.0
NM_000167,0.0
NM_000168,0.0
NM_000173,0.0
NM_000175,0.0
NM_000176,0.0
NM_000178,0.0
NM_000179,0.0
NM_000183,0.0
NM_000189,0.0
NM_000193,0.0
NM_000194,0.0
NM_000195,0.0
NM_000201,0.0
NM_000202,0.0
NM_000207,0.0
NM_000208,0.0
NM_000210,0.0
NM_000212,0.0
NM_000214,0.0
NM_000215,0.0
NM_000216,0.0
NM_000217,0.0
NM_000219,0.0
NM_000220,0.0
NM_000221,0.0
NM_000222,0.0
NM_000223,0.0
NM_000228,0.0
NM_000230,0.0
NM_000236,0.0
NM_000237,0.0
NM_000238,0.0
NM_000240,0.0
NM_000242,0.0
NM_000243,0.0
NM_000245,0.0
NM_000246,0.0
NM_000248,0.0
NM_000252,0.0
NM_000253,0.0
NM_000254,0.0
NM_000255,0.0
NM_000259,0.0
NM_000262,0.0
NM_000264,0.0
NM_000267,0.0
NM_000268,0.0
NM_000270,0.0
NM_000271,0.0
NM_000272,0.0
NM_000274,0.0
NM_000275,0.0
NM_000277,0.0
NM_000278,0.0
NM_000280,0.0
NM_000284,0.0
NM_000286,0.0
NM_000287,0.0
NM_000289,0.0
NM_000292,0.0
NM_000293,0.0
NM_000294,0.0
NM_000296,0.0
NM_000297,0.0
NM_000299,0.0
NM_000301,0.0
NM_000304,0.0
NM_000308,0.0
NM_000310,0.0
NM_000311,0.0
NM_000314,0.0
NM_000318,0.0
NM_000319,0.0
NM_000320,0.0
NM_000321,0.0
NM_000322,0.0
NM_000325,0.0
NM_000326,0.0
NM_000332,0.0
NM_000333,0.0
