mirnaid,refseqid,bindingp,validated,TargetScan,miRDB,miRTarBase
hsa-miR-495-3p,NM_001330416,0.8461538461538461,,1,1,0
hsa-miR-495-3p,NM_001330442,0.8461538461538461,MIRT052935,0,1,1
hsa-miR-495-3p,NM_001330443,0.8461538461538461,MIRT052935,0,1,1
hsa-miR-495-3p,NM_001330458,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001330461,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001330520,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001330538,0.9230769230769232,,1,1,0
hsa-miR-495-3p,NM_001330624,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001330645,1.0,,0,1,0
hsa-miR-495-3p,NM_001330677,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001330680,1.0,,0,1,0
hsa-miR-495-3p,NM_001330696,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001330736,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001332,0.8461538461538461,,1,1,0
hsa-miR-495-3p,NM_001346201,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001346201,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001346500,0.9230769230769232,MIRT098136,1,1,1
hsa-miR-495-3p,NM_001347591,0.8461538461538461,MIRT183431,1,1,1
hsa-miR-495-3p,NM_001347723,0.8461538461538461,,1,1,0
hsa-miR-495-3p,NM_001347872,1.0,,0,1,0
hsa-miR-495-3p,NM_001347943,0.9230769230769232,,1,1,0
hsa-miR-495-3p,NM_001348427,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001348430,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001348431,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001348436,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001348946,0.8461538461538461,MIRT734219,0,0,1
hsa-miR-495-3p,NM_001348991,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001348992,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001348993,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001348994,1.0,,0,1,0
hsa-miR-495-3p,NM_001348995,1.0,,0,1,0
hsa-miR-495-3p,NM_001348996,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001348997,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001349242,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001349250,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001349547,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001349811,1.0,,0,1,0
hsa-miR-495-3p,NM_001350204,1.0,,0,1,0
hsa-miR-495-3p,NM_001350206,1.0,,0,1,0
hsa-miR-495-3p,NM_001350294,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001350299,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001350304,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001350305,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001350306,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001350309,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001350309,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001350312,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001350314,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001350512,0.8205128205128206,,0,1,0
hsa-miR-495-3p,NM_001350513,0.8205128205128206,,0,1,0
hsa-miR-495-3p,NM_001350699,1.0,,0,1,0
hsa-miR-495-3p,NM_001350706,0.9230769230769232,MIRT772772,0,0,1
hsa-miR-495-3p,NM_001350709,0.9230769230769232,MIRT772772,0,0,1
hsa-miR-495-3p,NM_001351486,0.9230769230769232,,1,1,0
hsa-miR-495-3p,NM_001351487,0.9230769230769232,,1,1,0
hsa-miR-495-3p,NM_001351488,0.8461538461538461,,1,1,0
hsa-miR-495-3p,NM_001351491,0.9230769230769232,,1,1,0
hsa-miR-495-3p,NM_001351494,0.9230769230769232,,1,1,0
hsa-miR-495-3p,NM_001351624,0.9230769230769232,,1,1,0
hsa-miR-495-3p,NM_001351625,0.8461538461538461,,1,1,0
hsa-miR-495-3p,NM_001352005,0.8461538461538461,,0,1,0
hsa-miR-495-3p,NM_001352385,0.9615384615384616,,0,1,0
hsa-miR-495-3p,NM_001352837,0.9230769230769232,,1,1,0
hsa-miR-495-3p,NM_001353108,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353108,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353109,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353109,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353110,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353110,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353111,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353111,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353112,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353112,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353119,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353119,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353120,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353120,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353121,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353121,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353122,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353122,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353125,0.8461538461538461,,1,0,0
hsa-miR-495-3p,NM_001353125,0.9230769230769232,,1,0,0
hsa-miR-495-3p,NM_001353810,1.0,,0,1,0
hsa-miR-495-3p,NM_001353812,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001353949,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001353954,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001353957,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001354228,1.0,,0,1,0
hsa-miR-495-3p,NM_001354229,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001354232,1.0,,0,1,0
hsa-miR-495-3p,NM_001354238,0.9487179487179488,,0,1,0
hsa-miR-495-3p,NM_001354238,0.9230769230769232,,0,1,0
hsa-miR-495-3p,NM_001354240,1.0,,0,1,0
hsa-miR-495-3p,NM_001354241,1.0,,0,1,0
hsa-miR-495-3p,NM_001354243,1.0,,0,1,0
hsa-miR-495-3p,NM_001354245,1.0,,0,1,0
hsa-miR-495-3p,NM_001354247,1.0,,0,1,0
hsa-miR-495-3p,NM_001354249,1.0,,0,1,0
hsa-miR-495-3p,NM_001354253,1.0,,0,1,0
hsa-miR-495-3p,NM_001354255,1.0,,0,1,0
hsa-miR-495-3p,NM_001354257,1.0,,0,1,0
hsa-miR-495-3p,NM_001354258,1.0,,0,1,0
hsa-miR-495-3p,NM_001354260,1.0,,0,1,0
hsa-miR-495-3p,NM_001354262,1.0,,0,1,0
hsa-miR-495-3p,NM_001354264,1.0,,0,1,0
hsa-miR-495-3p,NM_001354266,1.0,,0,1,0
hsa-miR-495-3p,NM_001354267,1.0,,0,1,0
hsa-miR-495-3p,NM_001354268,1.0,,0,1,0
hsa-miR-495-3p,NM_001354270,1.0,,0,1,0
hsa-miR-495-3p,NM_001354271,1.0,,0,1,0
hsa-miR-495-3p,NM_001354274,1.0,,0,1,0
hsa-miR-495-3p,NM_001354275,1.0,,0,1,0
hsa-miR-495-3p,NM_001354276,1.0,,0,1,0
hsa-miR-495-3p,NM_001354277,1.0,,0,1,0
hsa-miR-495-3p,NM_001354278,1.0,,0,1,0
hsa-miR-495-3p,NM_001354279,1.0,,0,1,0
hsa-miR-495-3p,NM_001354280,1.0,,0,1,0
hsa-miR-495-3p,NM_001354281,1.0,,0,1,0
hsa-miR-495-3p,NM_001354282,1.0,,0,1,0
hsa-miR-495-3p,NM_001354411,1.0,,0,1,0
