miR,weightedDegree
hsa-miR-665,18783.0
hsa-miR-485-5p,18224.0
hsa-miR-381-3p,16755.0
hsa-miR-493-5p,15352.0
hsa-miR-543,11322.0
hsa-miR-370-3p,11230.0
hsa-miR-541-3p,11097.0
hsa-miR-485-3p,10396.0
hsa-miR-433-3p,10279.0
hsa-miR-654-5p,10159.0
hsa-miR-539-5p,9825.0
hsa-miR-329-3p,9330.0
hsa-miR-134-5p,8990.0
hsa-miR-541-5p,8861.0
hsa-miR-495-3p,8564.0
hsa-miR-432-5p,8379.0
hsa-miR-758-3p,7780.0
hsa-miR-409-3p,7563.0
hsa-miR-493-3p,6934.0
hsa-miR-136-5p,6794.0
hsa-miR-431-5p,6663.0
hsa-miR-494-3p,6598.0
hsa-miR-127-5p,6558.0
hsa-miR-1197,6554.0
hsa-miR-410-3p,6242.0
hsa-miR-382-5p,6034.0
hsa-miR-323a-3p,5733.0
hsa-miR-668-3p,5337.0
hsa-miR-654-3p,5212.0
hsa-miR-154-5p,4959.0
hsa-miR-770-5p,4516.0
hsa-miR-544a,4507.0
hsa-miR-377-3p,4200.0
hsa-miR-299-3p,4134.0
hsa-miR-487a-3p,3779.0
hsa-miR-380-3p,2924.0
hsa-miR-496,2915.0
hsa-miR-376c-3p,2872.0
hsa-miR-376b-3p,2153.0
hsa-miR-376a-3p,1883.0
hsa-miR-655-3p,1810.0
hsa-miR-369-3p,1235.0
hsa-miR-656-3p,1140.0
hsa-miR-889-3p,637.0
